osm_id,name,type
77307725,Blk 52,
77307727,Blk 53,
77338417,Blk 355,residential
77338451,Blk 356,residential
77338538,,Mosque
77352752,LT 76-79,
77352753,Blk 54,
77352754,Blk 80,
77352755,Blk 49,
77352756,Blk 46,
77352758,Blk 81,
77352759,Blk 83,
77352760,Blk 82,
77449923,Blk 56,school
77449924,NP Alumni Clubhouse Blk 75,
77449926,Blk 90,
77449927,Blk 92,
77449928,Loft @ Blk 94,
77449929,Blk 40,
77449930,Blk 44,
77449931,Blk 45,
77449933,Blk 38,
77449934,Blk 18,school
77449935,Blk 37,
77449936,Blk 47,
77449937,Blk 39,
79356970,,
79356974,,
79356978,,
79356980,,
79356988,,
79356995,Comfort Delgro,
79357001,,
80430404,,
81943710,,
81943716,,
81943719,,
82097556,,
82097557,,
82097558,,
82097559,,
82097949,,
82097951,,
82098761,,
82098765,,
82099178,,
82487563,,residential
82487564,,residential
82487566,,residential
82514011,,
82514012,,
82514013,,
82514014,,
82514015,,
82514016,,
82514017,,
82514018,,
82514019,,
82514021,,
82514022,,
82514023,,
82515295,,
82515296,,
82515297,,
82515298,,
82515299,,
82515300,,
82515301,,
82515302,,
82515303,,
82515304,,
82515305,,parking
82515306,,
82515307,,parking
82515308,,
82515309,,
82515310,,
82515311,,
82515313,,
82515314,,parking
82515316,,
82515320,,
82515321,,
82515322,,
82515323,,
82515324,,
82515348,,
82627791,,
82627792,,
82627793,,
82627794,,
82627795,,
82627796,,
82627797,,
82627798,,
82627799,,
82627800,,
82627801,,
82627802,,parking
82627803,,
82627804,,
82627805,,
82627806,,
82627807,,
82627808,,
82627809,,
82627810,,
82627811,,
82627812,,
82627813,,
82627814,,parking
82627815,,
82627816,,
83358027,,
83358028,,
83358029,,
83358030,,parking
83358031,,
83358032,,
83358033,,
83358036,,
83358037,,
83358038,,
83358039,,
83358040,,
83358041,,
83358042,,
83358043,,parking
83358045,,
83358046,,
83358053,,parking
83358056,,
83358057,,parking
83358058,,
83358059,,
83358060,,
83358061,,
83358062,,
83358064,,
83367608,,
83367609,,
83367614,,
83367617,,
83367618,,parking
83367622,,
83367626,,
83367628,,
83367633,,
83367636,,
83367639,,
83367642,,parking
83367646,,
83367650,,
83367653,,
83367655,,
83367656,,
83367657,,
83367659,,parking
83367664,,
83367668,,
83367673,,
83367676,,
83367680,,
83375184,,
83375189,,
83375198,,
83375201,,parking
83375206,,
83375211,,
83375219,,
